Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Council,Location.lat,Location.lon,Street,Photo,Photo 2,Notes
,,,,,,,,,,,,
1,Parklets,published,14/11/2020 22:52,14/11/2020 22:53,14/11/2020 22:50,Port Phillip City Council,-37.870301,144.980977,Blessington Street,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb05faa671e8-embf3tqvcaitvuk.jpg,,
2,Parklets,published,14/11/2020 22:54,14/11/2020 22:54,14/11/2020 22:53,Darebin City Council,-37.778995,145.024201,Wingrove Street,,,
3,Parklets,published,14/11/2020 22:56,14/11/2020 22:56,14/11/2020 22:55,Wyndham City Council,-37.90307,144.658388,Watton Street,,,
4,Parklets,published,14/11/2020 23:36,14/11/2020 23:37,14/11/2020 23:35,Hobson's Bay,-37.868965,144.830385,Pier Street,,,
5,Parklets,published,14/11/2020 23:36,14/11/2020 23:37,14/11/2020 23:35,Yarra,-37.796631,144.989764,Hotham Street,,,
6,Parklets,published,14/11/2020 23:37,14/11/2020 23:39,14/11/2020 23:36,Port Phillip,-37.880849,144.991411,Tennyson St,,,
7,Parklets,published,14/11/2020 23:39,14/11/2020 23:40,14/11/2020 23:38,Melbourne City Council,-37.793697,144.93016,Bellair St,,,
8,Parklets,published,14/11/2020 23:40,14/11/2020 23:40,14/11/2020 23:39,Darebin City Council,-37.770342,144.99802,Little Eastment Street,,,
9,Parklets,published,14/11/2020 23:41,14/11/2020 23:41,14/11/2020 23:40,Melbourne City Council,-37.812572,144.972847,Little Collins Street,,,
10,Parklets,published,14/11/2020 23:49,,14/11/2020 23:48,Melbourne City Council,-37.802664,144.949622,Errol Street,,,https://twitter.com/biketram/status/1323114778194145282
11,Parklets,published,14/11/2020 23:50,,14/11/2020 23:49,Melbourne City Council,-37.805435,144.951414,Victoria Street,,,https://twitter.com/biketram/status/1324960631863193601
12,Parklets,published,15/11/2020 0:05,,15/11/2020 0:03,Maribyrnong,-37.815988,144.890659,Ballarat st,,,
13,Parklets,published,15/11/2020 0:08,,15/11/2020 0:07,Yarra,-37.803935,144.983335,Smith,,,
14,Parklets,published,15/11/2020 0:09,,15/11/2020 0:07,Yarra,-37.796493,144.98981,"Hotham St, Collingwood",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb071bfc9add-125206122_3852586728098392_4197794724597416875_o.jpg,,
15,Parklets,published,15/11/2020 0:10,,15/11/2020 0:05,Stonington,-37.848364,144.984589,Greville st,,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb072088a9a2-45d823ba-da1e-4195-b3fb-e7732860c56e.jpeg,Between Macquarie and Izette sts
16,Parklets,published,15/11/2020 0:12,,15/11/2020 0:10,Yarra,-37.799781,144.995081,"Lulie St, Abbotsford",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb07251253bc-125278762_3852587044765027_6987058766182369607_o.jpg,,Small Talk bar
17,Parklets,published,15/11/2020 0:13,,15/11/2020 0:11,Stonnington,-37.850156,145.01359,Beatty ave,,,
18,Parklets,published,15/11/2020 0:14,,15/11/2020 0:12,Yarra,-37.816462,145.013278,"River St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb072c5eceff-125185007_3852586821431716_5727311942359327864_o.jpg,,Royston Hotel
19,Parklets,published,15/11/2020 0:18,,15/11/2020 0:12,Melbourne,-37.809093,144.969441,Little Lonsdale St,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb073c234fa8-img_5675.jpg,,Outside Coopers Inn
20,Parklets,published,15/11/2020 0:22,,15/11/2020 0:18,Yarra,-37.799798,144.995012,Lulie St,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb074d626c6a-img_5684.jpg,,
21,Parklets,published,15/11/2020 0:23,,15/11/2020 0:23,Yarra,-37.79876,144.980668,Napier St,,,Outside Town Hall Hotel
23,Parklets,published,15/11/2020 1:18,15/11/2020 9:38,15/11/2020 1:17,Melbourne,-37.820362,144.954802,Spencer Street,,,
24,Parklets,published,15/11/2020 1:22,,15/11/2020 1:20,Melbourne,-37.804387,144.949192,Errol Street,,,
25,Parklets,published,15/11/2020 1:22,,15/11/2020 1:22,Melbourne,-37.80277,144.949575,Errol,,,It doesn't like Android phones in trying to find photos
26,Parklets,published,15/11/2020 1:23,,15/11/2020 1:22,Melbourne,-37.802636,144.949603,Errol,,,
27,Parklets,published,15/11/2020 1:28,,15/11/2020 1:25,Mornington,-38.219892,145.038891,Main Street,,,Mornington Peninsula shire council has closed main Street in part to create a parklet zone.
28,Parklets,published,15/11/2020 2:33,,15/11/2020 2:32,Hobsons Bay,-37.86792,144.830432,Pier St,,,
29,Parklets,published,15/11/2020 2:54,,15/11/2020 2:51,Yarra,-37.829921,144.996698,"Balmain St, Cremorne",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb0985187a10-14d19d58-a4c7-481e-8c13-a6ac5f46ad94.jpeg,,
30,Parklets,published,15/11/2020 2:57,,15/11/2020 2:55,Yarra,-37.830412,144.995456,"Walnut St, Cremorne",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb098ff573ff-f266a411-4309-46c9-9425-6a97948e5bbe.jpeg,,
31,Parklets,published,15/11/2020 3:10,,15/11/2020 3:08,Yarra,-37.796493,144.98981,"Hotham St, Collingwood",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb09c2458e51-7fa5f9f1-feb3-4dc1-9d95-c03ec0c5cabf.jpeg,,
32,Parklets,published,15/11/2020 3:17,,15/11/2020 3:15,Yarra,-37.816531,145.013396,"River St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb09db11da23-30433dc9-bfae-4b42-b578-8034c110e9e7.jpeg,,
